year,plot,plotLoc,AMFInoc,biochar,block,mass_8mm,mass_4mm,mass_2mm,mass_1mm,mass_0-5mm,mass_0-25mm,mass_fine,totalMass,perc_8mm,perc_4mm,perc_2mm,perc_1mm,perc_0-5mm,perc_0-25mm,perc_fine
2013,29,Ring,Y,N,5,9.489,14.784,16.648,14.923,11.067,6.947,12.767,86.625,0.109541126,0.170666667,0.192184704,0.172271284,0.127757576,0.080196248,0.147382395
2013,30,Center,N,N,5,17.925,19.09,16.081,13.218,8.771,5.715,11.951,92.751,0.193259372,0.205819883,0.173378185,0.142510593,0.094565018,0.061616586,0.128850363
2013,30,Ring,N,N,5,14.139,15.14,15.072,13.92,10.097,6.54,13.141,88.049,0.16058104,0.17194971,0.171177413,0.158093789,0.114674783,0.074276823,0.149246442
2013,31,Center,N,H,6,22.292,24.209,17.986,15.351,10.693,7.058,15.669,113.258,0.196824948,0.213750905,0.158805559,0.135540094,0.094412757,0.062317894,0.138347843
2013,31,Ring,N,H,6,7.305,15.571,17.655,17,12.853,8.654,18.06,97.098,0.075233269,0.160363756,0.181826608,0.175080846,0.132371419,0.08912645,0.185997652
2013,32,Center,Y,N,6,9.262,15.247,16.201,14.131,10.662,7.348,13.911,86.762,0.106751804,0.175733616,0.186729213,0.162870842,0.1228879,0.084691455,0.16033517
2013,32,Ring,Y,N,6,7.861,16.2,14.929,14.669,10.218,6.82,14.806,85.503,0.091938295,0.189467036,0.174602061,0.171561232,0.119504579,0.079763283,0.173163515
2013,33,Center,Y,H,6,5.482,14.617,16.227,16.813,12.079,7.7,12.288,85.206,0.064338192,0.171548952,0.190444335,0.197321785,0.141762317,0.090369223,0.144215196
2013,33,Ring,Y,H,6,15.576,14.961,17.6,17.902,13.126,8.464,16.278,103.907,0.149903279,0.143984525,0.169382236,0.172288681,0.126324502,0.081457457,0.15665932
2013,34,Center,N,N,6,9.597,17.486,15.126,14.19,10.35,6.914,15.919,89.582,0.107130897,0.195195463,0.168850885,0.158402358,0.115536603,0.077180684,0.17770311
2013,34,Ring,N,N,6,10.335,13.796,14.037,13.676,10.306,7.053,16.104,85.307,0.121150668,0.161721781,0.164546872,0.160315097,0.120810719,0.082677858,0.188777005
2013,35,Center,Y,L,6,5.696,15.335,14.716,14.896,11.401,7.475,15.223,84.742,0.067215784,0.180961035,0.17365651,0.175780605,0.134537773,0.088208916,0.179639376
2013,35,Ring,Y,L,6,13.439,18.69,16.44,13.551,9.473,5.912,11.852,89.357,0.150396723,0.209161006,0.183981109,0.151650123,0.106012959,0.066161577,0.132636503
2013,36,Center,N,L,6,11.866,12.784,14.261,14.437,10.814,7.092,14.764,86.018,0.137947871,0.148620056,0.165790881,0.167836964,0.125717873,0.08244786,0.171638494
2013,36,Ring,N,L,6,15.101,17.899,14.838,13.581,9.802,6.094,11.891,89.206,0.169282335,0.200647938,0.166334103,0.152243123,0.109880501,0.068313791,0.133298209
2014,1,Center,Y,H,1,24.888,20.152,18.888,18.168,13.294,8.548,11.406,115.344,0.215771952,0.174712165,0.163753641,0.157511444,0.115255237,0.074108753,0.098886808
2014,1,Ring,Y,H,1,18.154,20.726,17,18.554,14.138,9.322,18.276,116.17,0.170506523,0.194663336,0.159667891,0.174263414,0.132787332,0.087554358,0.171652375
2014,2,Center,N,N,1,20.788,22.151,18.748,18.318,13.465,8.728,15.749,117.947,0.176248654,0.187804692,0.15895275,0.155307045,0.114161445,0.073999339,0.133526075
2014,2,Ring,N,N,1,16.496,27.159,22.592,20.63,15.167,9.971,17.253,129.268,0.127610855,0.2100984,0.174768698,0.159590927,0.117329888,0.077134326,0.133466906
2014,3,Center,Y,N,1,19.891,17.665,17.273,20.055,15.293,10.139,22.399,122.715,0.162091024,0.143951432,0.140757039,0.163427454,0.124622092,0.082622336,0.182528623
2014,3,Ring,Y,N,1,15.483,23.19,20.251,19.4,14.914,10.27,18.555,122.063,0.126844334,0.189983861,0.16590613,0.158934321,0.122182807,0.08413688,0.152011666
2014,4,Center,Y,L,1,17.21,20.622,20.827,21.856,16.368,10.59,19.87,127.343,0.135146808,0.161940586,0.163550411,0.171630949,0.128534745,0.083161226,0.156035275
2014,4,Ring,Y,L,1,18.05,23.071,20.933,19.68,14.807,9.938,17.893,124.372,0.145129129,0.185499952,0.168309587,0.158234973,0.119054128,0.079905445,0.143866787
2014,5,Center,N,L,1,13.245,21.693,19.058,19.561,14.169,9.017,18.034,114.777,0.115397684,0.189001281,0.16604372,0.170426131,0.123448078,0.078561036,0.157122071
2014,5,Ring,N,L,1,13.72,25.046,24.133,21.462,16.725,11.118,21.439,133.643,0.102661569,0.187409741,0.180578107,0.160592025,0.125146846,0.083191787,0.160419925
2014,6,Center,N,H,1,17.263,23.504,21.838,20.854,14.654,9.209,13.155,120.477,0.143288761,0.195091179,0.181262814,0.17309528,0.121633175,0.076437826,0.109190966
2014,6,Ring,N,H,1,17.947,18.137,21.137,23.086,16.451,10.423,18.706,125.887,0.142564363,0.144073653,0.167904549,0.183386688,0.13068069,0.082796476,0.14859358
2014,7,Center,N,L,2,16.44,21.781,22.233,22.759,18.084,12.096,20.773,134.166,0.12253477,0.162343664,0.165712625,0.169633141,0.134788247,0.09015697,0.154830583
2014,7,Ring,N,L,2,12.396,18.416,19.316,23.724,18.991,12.967,26.841,132.651,0.093448221,0.138830465,0.145615186,0.178845241,0.143165148,0.09775275,0.20234299
2014,8,Center,Y,H,2,9.928,11.916,14.905,16.73,13.464,9.061,15.669,91.673,0.108297972,0.129983747,0.162588767,0.182496482,0.146869853,0.098840444,0.170922736
2014,8,Ring,Y,H,2,26.923,22.951,21.626,20.193,15.254,10.158,15.38,132.485,0.203215458,0.173234706,0.163233574,0.152417255,0.115137563,0.076672831,0.116088614
2014,9,Center,N,H,2,16.562,14.699,13.551,14.704,11.271,7.574,14.139,92.5,0.179048649,0.158908108,0.146497297,0.158962162,0.121848649,0.081881081,0.152854054
2014,9,Ring,N,H,2,21.932,18.464,16.322,18.207,14.129,9.261,16.08,114.395,0.191721666,0.161405656,0.142681061,0.159159054,0.123510643,0.080956336,0.140565584
2014,10,Center,Y,N,2,22.459,17.7,17.825,20.741,15.587,9.887,19.434,123.633,0.181658619,0.14316566,0.144176717,0.167762652,0.126074754,0.079970558,0.157191041
2014,10,Ring,Y,N,2,12.687,19.697,18.401,18.432,13.4,8.716,13.619,104.952,0.120883833,0.187676271,0.175327769,0.175623142,0.127677414,0.083047488,0.129764083
2014,11,Center,N,N,2,14.622,19.42,19.48,18.448,13.908,8.991,17.215,112.084,0.13045573,0.17326291,0.173798223,0.164590843,0.124085507,0.080216623,0.153590165
2014,11,Ring,N,N,2,16.727,17.685,19.227,19.557,14.591,9.512,15.744,113.043,0.147970241,0.156444893,0.17008572,0.173004963,0.129074777,0.084144971,0.139274435
2014,12,Center,Y,L,2,11.732,19.736,20.337,21.13,15.493,10.154,18.224,116.806,0.100440046,0.168963923,0.174109207,0.180898242,0.132638734,0.086930466,0.156019383
2014,12,Ring,Y,L,2,14.903,20.321,20.832,20.986,16.002,10.414,20.414,123.872,0.120309675,0.164048373,0.168173599,0.169416817,0.129181736,0.084070654,0.164799148
2014,13,Center,N,N,3,11.105,14.382,16.391,17.515,13.87,9.72,13.843,96.826,0.114690269,0.148534485,0.169283044,0.180891496,0.143246649,0.10038626,0.142967798
2014,13,Ring,N,N,3,10.561,19.101,20.655,22.182,16.764,11.371,17.741,118.375,0.089216473,0.161360084,0.174487856,0.18738754,0.14161774,0.096059134,0.149871172
2014,14,Center,N,L,3,12.462,19.782,19.816,17.979,13.11,8.917,13.874,105.94,0.117632622,0.186728337,0.187049273,0.169709269,0.123749292,0.084170285,0.130960921
2014,14,Ring,N,L,3,12.951,19.979,21.562,21.016,15.733,10.338,17.642,119.221,0.108630191,0.167579537,0.180857399,0.176277669,0.131965006,0.086712911,0.147977286
2014,15,Center,Y,L,3,12.418,18.43,18.806,17.829,14.1,9.233,15.824,106.64,0.116447862,0.172824456,0.176350338,0.167188672,0.132220555,0.08658102,0.148387097
2014,15,Ring,Y,L,3,16.119,17.153,18.043,18.184,13.376,8.145,9.471,100.491,0.160402424,0.170691903,0.179548417,0.180951528,0.133106447,0.081052035,0.094247246
2014,16,Center,N,H,3,19.109,18.707,20.509,21.329,15.137,9.469,12.68,116.94,0.163408586,0.159970925,0.175380537,0.18239268,0.129442449,0.080973149,0.108431674
2014,16,Ring,N,H,3,20.595,19.987,20.371,19.67,13.883,8.383,10.848,113.737,0.181075639,0.175729974,0.179106184,0.172942842,0.122062302,0.073705127,0.095377933
2014,17,Center,Y,H,3,8.729,23.517,21.355,20.771,15.386,10.021,16.821,116.6,0.074862779,0.201689537,0.183147513,0.178138937,0.131955403,0.085943396,0.144262436
